barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491510469_1_2,1538,600,28.47,5182,"inferior occipital gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4824
252491510684_2_2,2036,600,30.92,5779,"subiculum, Right",,H0351.2002,/api/v2/well_known_file_download/6086
252491510703_2_3,2415,600,30.85,8441,"X, Right Paravermis",,H0351.2002,/api/v2/well_known_file_download/6287
252491510306_1_3,852,600,30.77,1121,"Crus I, Left Paravermis",,H0351.2001,/api/v2/well_known_file_download/3888
252491510798_1_3,4331,600,26.51,11341,"Putamen, Left",,H0351.1009,/api/v2/well_known_file_download/9513
252491510873_1_3,2581,569,19.86,8742,"lateral medullary reticular group, Right",,H0351.2002,/api/v2/well_known_file_download/6896
252491510330_1_2,538,600,30.7,131,"medial orbital gyrus, Left",,H0351.2001,/api/v2/well_known_file_download/3798
252491510088_2_3,328,600,26.4,385,"medial orbital gyrus, Left",,H0351.2001,/api/v2/well_known_file_download/1067
252491511112_1_4,127695446,600,26.21,126432574,"precentral gyrus, Left, bank of the central sulcus",,H0351.1012,/api/v2/well_known_file_download/127757674
252491510353_2_3,561,600,31.43,2500,"Tail of Caudate Nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/3427
252491511461_2_1,147738193,600,28.85,146021996,"Pontine Reticular Formation, Left",,H0351.1012,/api/v2/well_known_file_download/147739485
252491510860_2_1,4431,600,25.15,10973,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9670
252491510881_1_1,5292,600,25.15,10973,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10288
252491510316_1_3,911,600,27.82,851,"Head of Caudate Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/1407
252491510855_2_1,4987,600,28.25,13849,"Septal nuclei, Left",,H0351.1009,/api/v2/well_known_file_download/10193
252491510939_1_1,4916,600,22.86,14017,"Septal nuclei, Left",,H0351.1009,/api/v2/well_known_file_download/10151
252491510929_2_3,127693498,600,23.38,126432521,"inferior temporal gyrus, Left, bank of mts",,H0351.1012,/api/v2/well_known_file_download/127770421
252491511069_2_4,5414,600,26.71,11228,"Cingulate gyrus, frontal part, Left, superior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10451
252491511065_1_4,5413,600,28.56,13881,"Cingulate gyrus, frontal part, Left, superior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10442
252491510949_2_3,4921,600,25.67,13810,"Paraventricular Nucleus of the Hypothalamus, Left",,H0351.1009,/api/v2/well_known_file_download/10113
252491510137_2_2,470,600,27.34,1018,"precentral gyrus, Left, superior lateral aspect of gyrus",,H0351.2001,/api/v2/well_known_file_download/758
252491510865_2_2,2447,600,25.44,8395,"Crus I, Right Lateral Hemisphere",,H0351.2002,/api/v2/well_known_file_download/6619
252491510442_1_2,1451,600,24.16,6148,"pontine nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/4889
252491510799_2_4,4340,600,27.21,11263,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9511
252491511329_2_2,147737185,600,28.47,139379754,"CA2 field, Left",,H0351.1012,/api/v2/well_known_file_download/147740094
252491510761_2_2,2500,600,24.16,8847,"central medullary reticular group, Right",,H0351.2002,/api/v2/well_known_file_download/6580
252491510336_1_1,16,600,26.53,738,"postcentral gyrus, Left, bank of the central sulcus",,H0351.2001,/api/v2/well_known_file_download/862
252491510945_2_4,4888,600,27.61,13665,"Cortico-medial group, Left",,H0351.1009,/api/v2/well_known_file_download/10157
252491511478_2_2,147737482,600,25.31,146021980,"vestibular nuclei, Left",,H0351.1012,/api/v2/well_known_file_download/147740180
252491511480_1_1,147737275,600,27.21,139379914,"Claustrum, Left",,H0351.1012,/api/v2/well_known_file_download/147740202
252491510903_2_3,127693702,600,26.08,126434565,"supramarginal gyrus, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770352
252491510388_2_2,904,600,20.74,2468,"Globose Nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/1426
252491510944_2_1,4896,600,26.99,13634,"CA1 field, Left",,H0351.1009,/api/v2/well_known_file_download/10145
252491510693_1_3,2206,600,22.24,7375,"Body of Caudate Nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/5956
252491510329_2_3,528,600,27.8,226,"precuneus, Right, superior lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3795
252491510345_1_4,179,600,25.64,627,"inferior temporal gyrus, Right, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1004
252491510708_2_1,2385,600,25.69,8414,"Crus I, Left Paravermis",,H0351.2002,/api/v2/well_known_file_download/6268
252491510638_2_3,1658,600,24.98,4642,"gyrus rectus, Left",,H0351.2002,/api/v2/well_known_file_download/5145
252491510612_1_3,1851,600,24.67,6817,"pontine nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/5426
252491510612_1_2,1852,600,24.67,6817,"pontine nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/5337
252491510351_1_2,90,600,27,755,"inferior temporal gyrus, Right, bank of the its",,H0351.2001,/api/v2/well_known_file_download/895
252491510082_1_1,143,600,31.96,378,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/938
252491510081_2_3,142,600,31.96,378,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/936
252491510645_2_1,1586,600,27.36,4605,"Putamen, Right",,H0351.2002,/api/v2/well_known_file_download/5045
252491510138_2_1,413,600,27.98,990,"parahippocampal gyrus, Left, bank of the cos",,H0351.2001,/api/v2/well_known_file_download/765
252491510361_2_4,621,600,17.99,2557,"CA4 field, Left",,H0351.2001,/api/v2/well_known_file_download/3492
252491510705_1_4,2365,600,25.46,8397,"Crus I, Left Lateral Hemisphere",,H0351.2002,/api/v2/well_known_file_download/6262
252491510351_1_1,18,600,23.18,722,"supramarginal gyrus, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/894
252491510128_1_3,295,600,23.18,722,"supramarginal gyrus, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3970
252491510697_2_4,2252,600,23.1,7377,"Medial Geniculate Complex, Right",,H0351.2002,/api/v2/well_known_file_download/5941
252491511332_2_2,147737200,600,23.24,139379739,"Body of Caudate Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740132
252491510336_2_2,84,600,27.54,441,"superior frontal gyrus, Right, medial bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/867
252491510093_1_2,358,600,27.54,441,"superior frontal gyrus, Right, medial bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1102
252491510471_1_3,1877,600,23.29,6561,"Superior Olivary Complex, Left",,H0351.2001,/api/v2/well_known_file_download/5403
252491510342_2_3,761,600,28.38,771,"inferior temporal gyrus, Left, bank of mts",,H0351.2001,/api/v2/well_known_file_download/1375
252491510365_1_1,777,600,21.52,2857,"Medial Group of Nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/3530
252491510307_2_2,866,600,28.2,1154,"Nucleus Accumbens, Right",,H0351.2001,/api/v2/well_known_file_download/3899
252491510456_2_2,1478,600,26.77,4602,"inferior frontal gyrus, orbital part, Left",,H0351.2002,/api/v2/well_known_file_download/4798
252491510655_1_3,1891,600,26.29,5185,"inferior frontal gyrus, orbital part, Left",,H0351.2002,/api/v2/well_known_file_download/5465
252491510081_1_4,159,600,23.96,313,"angular gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/933
252491510644_1_2,1729,600,27.15,4836,"Cingulate gyrus, retrosplenial part, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5220
252491510626_1_2,1718,600,29.13,4829,"occipito-temporal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5252
252491510339_1_1,726,600,28.05,795,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1345
252491511071_2_1,5378,600,25.92,11012,"lateral orbital gyrus, Left",,H0351.1009,/api/v2/well_known_file_download/10376
252491511479_2_3,147737285,600,30.57,139379910,"Body of Caudate Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740198
