barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491510367_2_4,689,392.45,20.44,2611,"CA1 field, Right",,H0351.2001,/api/v2/well_known_file_download/1445
252491510850_2_2,127695614,600,26.77,126434981,"occipito-temporal gyrus, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757578
252491511329_2_3,147737245,600,22.33,139379878,"interstitial nucleus of Cajal, Left",,H0351.1012,/api/v2/well_known_file_download/147740096
252491511327_1_4,147737250,600,22.33,139379878,"interstitial nucleus of Cajal, Left",,H0351.1012,/api/v2/well_known_file_download/147740058
252491510766_2_4,2521,600,31.3,8904,"hypoglossal nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6599
252491510871_2_2,2529,600,31.3,8904,"hypoglossal nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6855
252491510797_1_4,4336,600,27.5,11310,"planum polare, Left",,H0351.1009,/api/v2/well_known_file_download/9472
252491510095_2_2,345,600,27.36,412,"supramarginal gyrus, Right, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1114
252491510088_2_1,344,600,27.36,412,"supramarginal gyrus, Right, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1065
252491510757_1_4,2334,600,20.93,5874,"Subthalamic Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6242
252491510679_2_3,2288,600,12.1,6394,"medial parabrachial nucleus,Right",,H0351.2001,/api/v2/well_known_file_download/6019
252491510759_1_3,2316,600,12.1,6394,"medial parabrachial nucleus,Right",,H0351.2001,/api/v2/well_known_file_download/6218
252491510423_2_2,939,547.019,23.58,2874,"Emboliform Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/3551
252491511468_2_1,147738055,600,27.77,139379760,"Medial Group of Nuclei, Left",,H0351.1012,/api/v2/well_known_file_download/147739597
252491511115_2_2,127696302,600,28.97,126435814,"Crus I, Left Paravermis",,H0351.1012,/api/v2/well_known_file_download/127768287
252491510390_1_1,566,600,29.59,2571,"Rostral Group of intralaminar Nuclei, Right",,H0351.2001,/api/v2/well_known_file_download/3509
252491510899_1_1,127694723,600,28.15,126435127,"inferior occipital gyrus, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127767835
252491510442_2_1,1455,541.94,21.59,6180,"lateral parabrachial nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/4874
252491510643_1_4,2416,600,30.76,8449,"VIIIB, Right Paravermis",,H0351.2002,/api/v2/well_known_file_download/6295
252491510801_1_1,4293,600,40.93,11134,"precuneus, Left,  superior lateral bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9512
252491510306_2_3,858,600,27.76,1209,"Head of Caudate Nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/3892
252491510454_1_1,1457,600,26.02,5165,"supraparietal lobule, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4781
252491510455_1_1,1465,600,29,5174,"occipito-temporal gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4766
252491510349_2_3,43,600,24.94,612,"superior temporal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/892
252491510608_1_3,1872,600,18.43,6826,"vestibular nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/5346
252491510330_2_3,536,600,26.54,282,"precuneus, Left, inferior lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3803
252491510350_2_2,108,600,27.63,625,"postcentral gyrus, Right, superior lateral aspect of gyrus",,H0351.2001,/api/v2/well_known_file_download/1038
252491510304_1_1,709,600,28.78,785,"postcentral gyrus, Right, superior lateral aspect of gyrus",,H0351.2001,/api/v2/well_known_file_download/1330
252491510415_1_1,1069,600,24.92,4579,"superior frontal gyrus, Right, medial bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4391
252491510950_1_2,4955,567,24.29,14258,"Inferior Colliculus, Left",,H0351.1009,/api/v2/well_known_file_download/10160
252491510416_2_3,1084,600,27.54,4546,"middle frontal gyrus, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4358
252491510676_2_4,2000,600,26.24,4670,"parahippocampal gyrus, Right, bank of the cos",,H0351.2002,/api/v2/well_known_file_download/5826
252491510126_2_1,246,600,28.07,909,"globus pallidus, external segment, Right",,H0351.2001,/api/v2/well_known_file_download/3956
252491510125_2_2,245,600,28.07,909,"globus pallidus, external segment, Right",,H0351.2001,/api/v2/well_known_file_download/3949
252491510854_2_4,5028,600,27.06,14481,"arcuate nucleus of medulla, Left",,H0351.1009,/api/v2/well_known_file_download/10222
252491510821_2_3,127696167,600,27.77,126435714,"Crus II, Left Lateral Hemisphere",,H0351.1012,/api/v2/well_known_file_download/127768193
252491510796_1_1,4323,600,27.88,11303,"supramarginal gyrus, Left, superior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9441
252491510460_2_2,1510,600,28.55,5136,"cuneus, Left, peristriate",,H0351.2002,/api/v2/well_known_file_download/4743
252491510305_1_2,737,600,28.88,841,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1339
252491510101_1_1,878,600,27.24,1202,"globus pallidus, external segment, Left",,H0351.2001,/api/v2/well_known_file_download/3822
252491510368_1_1,646,565.474,21.17,2650,"Substantia Nigra, pars compacta, Left",,H0351.2001,/api/v2/well_known_file_download/1446
252491510872_2_3,2577,600,26.64,9197,"lateral parabrachial nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6859
252491510629_1_1,1711,600,30.28,4827,"Cingulate gyrus, parietal part, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5222
252491510905_1_3,2636,600,27.7,9454,"pontine nuclei, Left",,H0351.2002,/api/v2/well_known_file_download/7006
252491510662_1_3,1975,600,27.83,5194,"inferior occipital gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5527
252491510648_1_2,1604,600,26.5,4957,"inferior temporal gyrus, Right, bank of mts",,H0351.2002,/api/v2/well_known_file_download/5069
252491510330_2_4,509,600,24.37,217,"middle frontal gyrus, Right, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3804
252491510452_2_3,1381,600,23.9,5683,"Septal nuclei, Left",,H0351.2002,/api/v2/well_known_file_download/4606
252491510709_2_1,2417,600,28.02,8362,"IX, Right Paravermis",,H0351.2002,/api/v2/well_known_file_download/6302
252491510868_1_2,2540,600,22.76,9047,"spinal trigeminal nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6870
252491510683_1_3,2035,600,25.92,5771,"Lateral Nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6077
252491510131_2_2,396,600,27.64,1009,"middle frontal gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/710
252491510446_2_1,1435,600,28.86,6233,"ventral tegmental area, Right",,H0351.2001,/api/v2/well_known_file_download/4833
252491510316_2_4,960,600,24.73,1138,VIIAt,,H0351.2001,/api/v2/well_known_file_download/1412
252491510644_1_3,1767,600,28.28,4947,"superior temporal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5224
252491510711_2_2,2153,600,30.72,7089,"Cortico-medial group, Left",,H0351.2002,/api/v2/well_known_file_download/5907
252491510692_1_4,2152,600,30.72,7089,"Cortico-medial group, Left",,H0351.2002,/api/v2/well_known_file_download/5900
252491510063_1_1,379,600,23.93,437,"paracentral lobule, anterior part, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1057
252491510617_1_2,1653,600,28.1,4691,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5122
252491510328_2_3,549,600,29.75,137,"supraparietal lobule, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3787
252491510326_2_2,548,600,26.02,193,"supraparietal lobule, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3770
252491510090_2_2,377,600,22.82,422,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1082
252491510806_1_2,2621,600,26.63,9445,"cuneiform nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/7029
252491510680_1_2,2291,600,26.14,6163,"central grey substance of midbrain, Right",,H0351.2001,/api/v2/well_known_file_download/6037
252491510353_1_2,606,600,23.02,2589,"Central Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/3422
252491510102_1_3,877,600,27.09,1210,"Head of Caudate Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/3832
252491510847_1_3,127695554,600,29.36,126435049,"inferior occipital gyrus, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757524
252491510391_2_4,983,600,18.56,2394,"CA1 field, Right",,H0351.2001,/api/v2/well_known_file_download/4033
252491510324_2_1,532,600,30.01,113,"supraparietal lobule, Right, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3753
252491510906_2_4,2623,600,23.62,9461,"trochlear nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6983
252491510937_1_1,127693601,600,28.28,126434395,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770457
252491510392_2_1,778,600,29.25,2849,"Lateral group of Nuclei, Left, Ventral division",,H0351.2001,/api/v2/well_known_file_download/3542
252491510865_1_4,2439,600,27.97,5113,"Long Insular Gyri, Left",,H0351.2002,/api/v2/well_known_file_download/6630
252491510699_2_2,2258,600,164.8,7445,"Tail of Caudate Nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/5995
252491510329_1_3,521,600,26.86,250,"supraparietal lobule, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3791
252491510105_2_3,836,600,25.74,1076,"VI, Right Paravermis",,H0351.2001,/api/v2/well_known_file_download/3860
252491510104_2_4,835,600,25.74,1076,"VI, Right Paravermis",,H0351.2001,/api/v2/well_known_file_download/3853
252491510305_1_3,738,600,26.86,819,"frontal operculum, Right",,H0351.2001,/api/v2/well_known_file_download/1340
252491510635_1_3,1672,600,26.9,4659,"Inferior frontal gyrus, triangular part, Left",,H0351.2002,/api/v2/well_known_file_download/5123
252491511480_2_1,147737170,600,20.23,127687963,"Supraoptic Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740210
252491510445_2_2,1456,418.535,18.76,6188,"lateral parabrachial nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/4882
252491510656_1_1,1991,600,26.85,5226,"fusiform gyrus, Left, bank of cos",,H0351.2002,/api/v2/well_known_file_download/5512
252491511461_2_2,147737940,600,28.22,139379890,Choroid Plexus of the lateral ventricle,,H0351.1012,/api/v2/well_known_file_download/147739487
252491510625_2_3,1747,600,25.55,4962,"Body of Caudate Nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/5219
252491510640_2_3,1743,600,27.87,4930,"globus pallidus, external segment, Right",,H0351.2002,/api/v2/well_known_file_download/5200
252491510395_1_4,1016,600,27.42,4401,"inferior olivary complex, Right",,H0351.2001,/api/v2/well_known_file_download/4334
252491510870_2_3,2557,600,28.68,9077,"gigantocellular group, Right",,H0351.2002,/api/v2/well_known_file_download/6853
252491510437_1_4,1308,600,28.09,4942,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4697
252491510893_2_2,127695486,600,28.03,126434559,"postcentral gyrus, Left, inferior lateral aspect of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757626
252491510819_1_2,127696011,600,29.11,126435756,"parahippocampal gyrus, Left, lateral bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127768151
252491510693_1_1,2210,600,27.42,7312,"Caudal Group of Intralaminar Nuclei, Left",,H0351.2002,/api/v2/well_known_file_download/5989
252491510612_2_3,1587,600,28.03,4630,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5047
252491510693_2_1,2193,600,27.11,7493,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/6007
252491510696_2_2,2194,600,27.11,7493,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5934
252491510873_2_2,2560,600,21.39,9101,"spinal trigeminal nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6877
252491510690_1_1,2017,600,25.67,5793,"CA1 field, Right",,H0351.2002,/api/v2/well_known_file_download/6084
252491510127_2_3,209,600,28.34,933,"Putamen, Left",,H0351.2001,/api/v2/well_known_file_download/3966
252491510900_2_3,127694512,600,25.94,126432606,"inferior temporal gyrus, Left, bank of the its",,H0351.1012,/api/v2/well_known_file_download/127767863
252491510823_2_3,127695976,600,28.73,126435708,"inferior temporal gyrus, Left, bank of the its",,H0351.1012,/api/v2/well_known_file_download/127768225
252491510899_1_3,127694687,600,26.78,126434420,"supraparietal lobule, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127767839
252491510386_1_4,310,600,27.93,2305,"subiculum, Right",,H0351.2001,/api/v2/well_known_file_download/4019
252491510315_2_2,949,600,23.69,490,"inferior temporal gyrus, Left, bank of mts",,H0351.2001,/api/v2/well_known_file_download/1402
252491510095_2_3,368,600,23.69,490,"inferior temporal gyrus, Left, bank of mts",,H0351.2001,/api/v2/well_known_file_download/1115
252491510692_1_3,2148,600,22.01,7057,"Cortico-medial group, Right",,H0351.2002,/api/v2/well_known_file_download/5914
252491510949_1_1,4927,600,29.8,14193,"Medial Group of Nuclei, Left",,H0351.1009,/api/v2/well_known_file_download/10165
252491510618_1_1,1644,600,30.66,4700,"gyrus rectus, Right",,H0351.2002,/api/v2/well_known_file_download/5167
252491510618_1_4,1682,600,28.95,4818,"Heschl's gyrus, Left",,H0351.2002,/api/v2/well_known_file_download/5171
252491510823_2_2,127696274,600,31.19,126435780,"VIIIA, Left Lateral Hemisphere",,H0351.1012,/api/v2/well_known_file_download/127768223
252491510773_2_4,141758371,600,23.25,126432588,"Short Insular Gyri, Left",,H0351.1012,/api/v2/well_known_file_download/148183233
252491510433_1_2,1005,600,27.42,4325,"spinal trigeminal nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/4332
252491510355_1_2,573,600,30.8,2508,"Lateral group of Nuclei, Right, Ventral division",,H0351.2001,/api/v2/well_known_file_download/3438
252491510372_2_4,694,600,28.14,2627,"Dentate gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/1485
252491510395_1_3,1000,600,27.42,4348,central glial substance,,H0351.2001,/api/v2/well_known_file_download/4337
252491510707_1_1,2426,600,29.08,8379,"VIIB, Right Lateral Hemisphere",,H0351.2002,/api/v2/well_known_file_download/6301
252491511068_1_2,5393,600,26.72,11085,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10429
252491510315_1_4,925,600,30.92,1045,corpus callosum,,H0351.2001,/api/v2/well_known_file_download/1400
252491510438_2_3,1350,600,29.04,5002,"Body of Caudate Nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/4675
252491510096_1_2,428,600,25.77,450,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1118
252491510703_2_1,2363,600,24.93,8429,"VI, Left Lateral Hemisphere",,H0351.2002,/api/v2/well_known_file_download/6331
252491510435_2_2,1306,600,27.2,4926,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4677
252491510369_1_2,641,600,14.35,2617,"central grey substance of midbrain, Left",,H0351.2001,/api/v2/well_known_file_download/1455
252491510789_1_4,146518630,600,27.88,127687490,"Head of Caudate Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/146535129
252491511067_2_4,5381,600,26.48,11028,"gyrus rectus, Left",,H0351.1009,/api/v2/well_known_file_download/10406
252491511070_2_2,5408,600,26.67,11284,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10389
252491510395_2_4,998,600,29.75,4281,"spinal trigeminal nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/4315
252491510648_1_3,1602,600,25.72,4925,"precuneus, Right, superior lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5067
252491510349_1_4,19,600,27.89,753,"precentral gyrus, Right, superior lateral aspect of gyrus",,H0351.2001,/api/v2/well_known_file_download/889
252491510460_1_1,1505,600,27.62,5103,"cuneus, Left, peristriate",,H0351.2002,/api/v2/well_known_file_download/4785
252491510102_2_4,875,600,26.54,1171,"Putamen, Left",,H0351.2001,/api/v2/well_known_file_download/3837
252491510616_1_1,1691,600,29.04,4874,"paracentral lobule, anterior part, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5127
252491510630_2_3,1707,600,29.37,4897,"paracentral lobule, anterior part, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5205
252491510883_1_2,5328,600,31.68,13905,"Putamen, Left",,H0351.1009,/api/v2/well_known_file_download/10350
252491510628_2_3,1773,600,28.23,4979,"paracentral lobule, anterior part, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5251
252491510331_1_2,495,600,27.43,162,"superior frontal gyrus, Right, medial bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3806
252491510760_2_2,2313,600,20.53,6820,"vestibular nuclei, Right",,H0351.2001,/api/v2/well_known_file_download/6224
252491510613_2_2,1561,600,26.62,4588,"inferior frontal gyrus, opercular part, Right",,H0351.2002,/api/v2/well_known_file_download/5032
252491510692_1_2,2130,600,26.66,7049,"Central Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/5901
252491510083_1_4,67,600,25.16,494,"Putamen, Left",,H0351.2001,/api/v2/well_known_file_download/956
252491510364_2_4,899,600,23.62,2802,"Lateral Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/3529
252491510677_2_2,2271,600,20.97,6954,"hypoglossal nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/6018
252491510087_1_4,104,600,26.47,649,"precentral gyrus, Right, superior lateral aspect of gyrus",,H0351.2001,/api/v2/well_known_file_download/988
252491510441_2_1,1423,600,30.36,6282,"locus ceruleus, Right",,H0351.2001,/api/v2/well_known_file_download/4885
252491510822_2_1,127696357,600,25.89,126435718,"IV, Left Paravermis",,H0351.1012,/api/v2/well_known_file_download/127768205
252491511115_1_1,127696352,600,25.89,126435718,"IV, Left Paravermis",,H0351.1012,/api/v2/well_known_file_download/127768277
252491510880_1_4,5363,600,27.87,14123,"V, Left Paravermis",,H0351.1009,/api/v2/well_known_file_download/10326
252491510342_1_1,763,600,27.99,843,"Head of Caudate Nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/1369
252491510683_2_1,2079,600,26.04,5914,"Caudal Group of Intralaminar Nuclei, Right",,H0351.2002,/api/v2/well_known_file_download/6132
252491510639_1_4,1715,600,29.63,4867,"Cingulate gyrus, retrosplenial part, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5238
252491510137_2_1,476,600,25.91,962,"superior frontal gyrus, Right, medial bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/757
252491510137_1_1,464,600,27.54,995,"inferior temporal gyrus, Right, bank of mts",,H0351.2001,/api/v2/well_known_file_download/753
252491510063_2_4,155,600,29.3,370,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/913
252491510643_2_3,2366,600,25.37,8405,"Crus II, Left Lateral Hemisphere",,H0351.2002,/api/v2/well_known_file_download/6271
252491510759_1_2,2322,600,29.9,4689,"middle frontal gyrus, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/6237
252491510940_2_1,5319,600,26.46,13441,"parahippocampal gyrus, Left, lateral bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10353
252491511466_2_4,147738050,600,25.77,139379725,"Putamen, Left",,H0351.1012,/api/v2/well_known_file_download/147739571
252491510425_2_1,789,509.987,29.91,3041,"Lateral group of Nuclei, Left, Ventral division",,H0351.2001,/api/v2/well_known_file_download/3566
252491510608_2_1,1864,600,128.3,6881,"gigantocellular group, Left",,H0351.2001,/api/v2/well_known_file_download/5362
252491510607_2_1,1861,600,20.26,6849,"cochlear nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/5433
252491510354_1_1,663,600,21.27,2477,"CA3 field, Left",,H0351.2001,/api/v2/well_known_file_download/3429
252491510138_1_2,467,600,26.32,1034,"postcentral gyrus, Right, inferior lateral aspect of gyrus",,H0351.2001,/api/v2/well_known_file_download/762
252491510894_1_3,127695309,600,25.89,126431643,corpus callosum,,H0351.1012,/api/v2/well_known_file_download/127757636
252491510133_2_3,408,600,27.26,946,"precentral gyrus, Right, bank of the central sulcus",,H0351.2001,/api/v2/well_known_file_download/727
252491510128_2_3,239,600,27.26,946,"precentral gyrus, Right, bank of the central sulcus",,H0351.2001,/api/v2/well_known_file_download/3974
252491511460_2_4,147738288,600,24.42,146507717,"inferior olivary complex, Left",,H0351.1012,/api/v2/well_known_file_download/147739475
252491510834_2_2,4418,600,28.46,11119,"inferior occipital gyrus, Left, superior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9718
252491510884_1_2,5301,600,28.46,11119,"inferior occipital gyrus, Left, superior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10282
252491510365_2_4,796,600,23.37,2978,"Reticular Nucleus of Thalamus, Right",,H0351.2001,/api/v2/well_known_file_download/3537
252491510858_1_4,4997,600,264.3,14225,"Ventromedial Hypothalamic Nucleus, Left",,H0351.1009,/api/v2/well_known_file_download/10198
252491510690_1_4,2022,600,28.01,5833,"Tail of Caudate Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6129
252491510903_2_2,127693621,600,30.43,126434557,"inferior temporal gyrus, Left, bank of the its",,H0351.1012,/api/v2/well_known_file_download/127770350
252491510356_2_1,570,600,24.15,2499,"central grey substance of midbrain, Left",,H0351.2001,/api/v2/well_known_file_download/3449
252491510760_2_4,2312,600,18.84,6569,"Superior Olivary Complex, Right",,H0351.2001,/api/v2/well_known_file_download/6222
252491510885_1_4,5309,600,26.67,11343,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10351
252491510855_1_3,4983,600,21.63,13739,"Reticular Nucleus of Thalamus, Left",,H0351.1009,/api/v2/well_known_file_download/10244
252491510360_2_3,593,600,22.7,2497,"Anterior Group of Nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/3483
252491510696_2_1,2204,600,25.8,7341,"Reticular Nucleus of Thalamus, Right",,H0351.2002,/api/v2/well_known_file_download/5936
252491510635_1_2,1688,600,29.79,4881,"postcentral gyrus, Right, bank of the central sulcus",,H0351.2002,/api/v2/well_known_file_download/5111
252491510124_1_1,262,600,32.8,908,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3936
252491510392_1_2,902,600,28.97,2826,"Central Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/3539
252491510303_1_3,725,600,27.77,803,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1324
252491510809_2_1,2682,503,23.81,8895,"dorsal motor nucleus of the vagus, Right",,H0351.2002,/api/v2/well_known_file_download/7131
252491510885_1_2,5365,600,27.28,14147,"VI, Left Paravermis",,H0351.1009,/api/v2/well_known_file_download/10342
252491510393_1_4,1009,600,27.42,4337,"cuneate nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/4319
252491510607_1_4,1813,600,19.32,6914,"vestibular nuclei, Right",,H0351.2001,/api/v2/well_known_file_download/5427
252491510860_1_2,4429,600,28.36,11166,"precentral gyrus, Left, inferior lateral aspect of gyrus",,H0351.1009,/api/v2/well_known_file_download/9652
252491510880_1_3,5304,600,27.18,13889,"precentral gyrus, Left, inferior lateral aspect of gyrus",,H0351.1009,/api/v2/well_known_file_download/10308
252491510786_2_4,146518340,600,29.75,127687885,"Septal nuclei, Left",,H0351.1012,/api/v2/well_known_file_download/146535089
252491510826_1_1,4373,600,25.8,10964,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9645
252491511062_1_1,5371,600,25.8,10964,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10400
252491510941_2_4,4976,600,23.81,13610,"Amygdaloid Transition zone, Left",,H0351.1009,/api/v2/well_known_file_download/10263
252491510943_1_2,4889,600,29.16,13673,"Lateral Nucleus, Left",,H0351.1009,/api/v2/well_known_file_download/10168
252491510304_1_3,757,600,27.6,804,"parahippocampal gyrus, Right, bank of the cos",,H0351.2001,/api/v2/well_known_file_download/1332
252491510097_1_3,432,600,26.37,442,"frontal operculum, Left",,H0351.2001,/api/v2/well_known_file_download/1127
252491510104_2_2,864,600,26.57,978,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3851
252491510135_1_4,474,600,26.57,978,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/740
252491510631_1_2,1734,600,29.33,4875,"postcentral gyrus, Left, inferior lateral aspect of gyrus",,H0351.2002,/api/v2/well_known_file_download/5241
252491510328_2_1,515,600,26.26,219,"cuneus, Right, peristriate",,H0351.2001,/api/v2/well_known_file_download/3785
252491510938_2_3,127693472,600,25.01,126432134,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770485
252491510935_1_3,127693477,600,25.01,126432134,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770429
252491510095_1_4,374,600,22.21,545,"occipito-temporal gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1112
252491510861_2_4,2488,600,23.38,8846,"inferior olivary complex, Left",,H0351.2002,/api/v2/well_known_file_download/6644
252491510345_2_3,65,600,25.58,502,"Head of Caudate Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/1007
252491510129_2_1,300,600,17.48,2265,"Claustrum, Left",,H0351.2001,/api/v2/well_known_file_download/3980
252491510648_2_3,1603,600,25.05,4933,"angular gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5068
252491510802_1_1,4318,600,23.85,11222,"fusiform gyrus, Left, bank of the its",,H0351.1009,/api/v2/well_known_file_download/9484
252491510842_2_4,2552,600,25,9045,"pontine nuclei, Left",,H0351.2002,/api/v2/well_known_file_download/6895
252491510459_1_2,1498,600,28.33,5137,"globus pallidus, internal segment, Left",,H0351.2002,/api/v2/well_known_file_download/4809
252491510459_2_1,1501,600,26.59,5092,"postcentral gyrus, Left, superior lateral aspect of gyrus",,H0351.2002,/api/v2/well_known_file_download/4749
252491510873_2_1,2595,600,25.51,9710,"principal sensory nucleus of trigeminal nerve, Right",,H0351.2002,/api/v2/well_known_file_download/6850
252491510837_1_2,2675,600,20.26,9544,"Substantia Nigra, pars compacta, Left",,H0351.2002,/api/v2/well_known_file_download/7016
252491510357_1_4,560,600,28.74,2515,"Dentate gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/3456
252491510612_1_4,1797,600,28.74,2515,"Dentate gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/5355
252491510907_1_2,2629,600,23.26,9501,"Substantia Nigra, pars reticulata, Left",,H0351.2002,/api/v2/well_known_file_download/6988
252491510694_2_2,2217,600,26.99,7389,"Substantia Innominata, Left",,H0351.2002,/api/v2/well_known_file_download/5968
252491510946_1_1,4898,600,29.04,13738,"CA2 field, Left",,H0351.1009,/api/v2/well_known_file_download/10162
252491510643_2_4,2423,600,26.95,8417,"VIIIA, Right Paravermis",,H0351.2002,/api/v2/well_known_file_download/6270
